HORN_DENS,SAPA_DENS,STOS_DENS,MUTI_DENS,MAPY_DENS,EISN_DENSITY,DICO,ZONA,HORN_R,SAPA_R,STOS_R,SAMU_R,MAPY_R
25.2,2.8,0,17.2,0,0,0,11.6,0,0,0,0,0
38.8,2.4,3.6,4,0,0,0,6.4,10.4,0,0,0,0
2.4,4.4,0,0.8,0,0,0,0,3.6,0,0,0,0
9.6,0.8,0,4.4,0,0,0,3.2,13.2,0,0,0,0
9.6,3.2,0,6,0,0,0.8,18.4,2,0,0,0,0
10.8,2.4,0,0.8,0,0,1.6,31.6,1.6,0,0,0,0
6,1.6,0,2.4,0,0,1.6,8.8,2.4,0,0,1.2,0
17.6,1.2,0,2,0.133333333,0,0.8,8.8,2.4,0,0,0,0
14.4,2.4,0.8,0,0.116666667,0,4,9.6,7.2,0,0,0,0
12.8,1.2,0.4,1.6,0.15,0,0.4,5.2,8,0,0,0,0
17.6,0,0.4,0.4,0,0,2,0.4,2,0,0,0,0
